HomeTeam,AwayTeam,FTHG,FTAG
Milan,Udinese,1.855,1.1655
Cagliari,Atalanta,1.2495,1.7535
Lecce,Inter,1.095,1.867
Monza,Torino,1.3285,1.2515
Fiorentina,Genoa,1.604,0.8685
Lazio,Bologna,1.918,1.2995
Salernitana,Roma,1.282,1.4365
Frosinone,Empoli,0.9855,0.8935
Verona,Napoli,1.307,1.904
Juventus,Sassuolo,1.8885,1.4855
Torino,Lazio,1.0965,1.567
Udinese,Salernitana,1.4035,0.859
Inter,Frosinone,2.237,0.773
Sassuolo,Lecce,1.4615,0.8375
Empoli,Fiorentina,1.2095,1.2095
Napoli,Monza,2.1,1.079
Atalanta,Milan,2.0625,1.652
Bologna,Verona,1.353,1.034
Roma,Genoa,1.598,0.8685
Cagliari,Juventus,1.2495,1.3455
Monza,Udinese,1.3285,1.1655
Lazio,Inter,1.918,1.867
Genoa,Torino,1.0705,1.2515
Juventus,Roma,1.8885,1.4365
Milan,Bologna,1.855,1.2995
Frosinone,Sassuolo,0.9855,1.4855
Salernitana,Cagliari,1.282,0.9165
Verona,Atalanta,1.307,1.7535
Fiorentina,Napoli,1.604,1.904
Lecce,Empoli,1.095,0.8935
Sassuolo,Milan,1.4615,1.652
Inter,Genoa,2.237,0.8685
Roma,Monza,1.598,1.079
Empoli,Verona,1.2095,1.034
Cagliari,Lazio,1.2495,1.567
Udinese,Fiorentina,1.4035,1.2095
Juventus,Frosinone,1.8885,0.773
Napoli,Lecce,2.1,0.8375
Atalanta,Torino,2.0625,1.2515
Bologna,Salernitana,1.353,0.859
Fiorentina,Juventus,1.604,1.3455
Milan,Inter,1.855,1.867
Lazio,Napoli,1.918,1.904
Genoa,Sassuolo,1.0705,1.4855
Frosinone,Bologna,0.9855,1.2995
Verona,Cagliari,1.307,0.9165
Udinese,Roma,1.4035,1.4365
Monza,Atalanta,1.3285,1.7535
Salernitana,Empoli,1.282,0.8935
Torino,Lecce,1.0965,0.8375
Napoli,Frosinone,2.1,0.773
Inter,Torino,2.237,1.2515
Cagliari,Milan,1.2495,1.652
Atalanta,Genoa,2.0625,0.8685
Bologna,Fiorentina,1.353,1.2095
Lecce,Monza,1.095,1.079
Sassuolo,Udinese,1.4615,1.1655
Lazio,Verona,1.918,1.034
Juventus,Salernitana,1.8885,0.859
Empoli,Roma,1.2095,1.4365
Salernitana,Lecce,1.282,0.8375
Bologna,Empoli,1.353,0.8935
Frosinone,Cagliari,0.9855,0.9165
Torino,Sassuolo,1.0965,1.4855
Udinese,Inter,1.4035,1.867
Genoa,Lazio,1.0705,1.567
Fiorentina,Verona,1.604,1.034
Monza,Juventus,1.3285,1.3455
Roma,Atalanta,1.598,1.7535
Milan,Napoli,1.855,1.904
Napoli,Torino,2.1,1.2515
Inter,Roma,2.237,1.4365
Empoli,Milan,1.2095,1.652
Lazio,Frosinone,1.918,0.773
Lecce,Genoa,1.095,0.8685
Cagliari,Monza,1.2495,1.079
Sassuolo,Salernitana,1.4615,0.859
Atalanta,Fiorentina,2.0625,1.2095
Juventus,Bologna,1.8885,1.2995
Verona,Udinese,1.307,1.1655
Sassuolo,Inter,1.4615,1.867
Milan,Juventus,1.855,1.3455
Bologna,Cagliari,1.353,0.9165
Torino,Empoli,1.0965,0.8935
Monza,Frosinone,1.3285,0.773
Salernitana,Verona,1.282,1.034
Udinese,Atalanta,1.4035,1.7535
Genoa,Napoli,1.0705,1.904
Roma,Lecce,1.598,0.8375
Fiorentina,Lazio,1.604,1.567
Empoli,Monza,1.2095,1.079
Torino,Juventus,1.0965,1.3455
Atalanta,Sassuolo,2.0625,1.4855
Inter,Salernitana,2.237,0.859
Lazio,Udinese,1.918,1.1655
Frosinone,Genoa,0.9855,0.8685
Napoli,Bologna,2.1,1.2995
Verona,Milan,1.307,1.652
Cagliari,Roma,1.2495,1.4365
Lecce,Fiorentina,1.095,1.2095
Juventus,Empoli,1.8885,0.8935
Salernitana,Frosinone,1.282,0.773
Milan,Monza,1.855,1.079
Fiorentina,Inter,1.604,1.867
Udinese,Torino,1.4035,1.2515
Bologna,Lecce,1.353,0.8375
Atalanta,Lazio,2.0625,1.567
Roma,Napoli,1.598,1.904
Genoa,Cagliari,1.0705,0.9165
Sassuolo,Verona,1.4615,1.034
Napoli,Sassuolo,2.1,1.4855
Lecce,Juventus,1.095,1.3455
Inter,Cagliari,2.237,0.9165
Empoli,Atalanta,1.2095,1.7535
Genoa,Udinese,1.0705,1.1655
Frosinone,Fiorentina,0.9855,1.2095
Lazio,Salernitana,1.918,0.859
Torino,Milan,1.0965,1.652
Verona,Roma,1.307,1.4365
Monza,Bologna,1.3285,1.2995
Udinese,Lecce,1.4035,0.8375
Empoli,Sassuolo,1.2095,1.4855
Salernitana,Genoa,1.282,0.8685
Atalanta,Napoli,2.0625,1.904
Milan,Frosinone,1.855,0.773
Bologna,Torino,1.353,1.2515
Monza,Verona,1.3285,1.034
Cagliari,Fiorentina,1.2495,1.2095
Roma,Lazio,1.598,1.567
Juventus,Inter,1.8885,1.867
Napoli,Empoli,2.1,0.8935
Frosinone,Udinese,0.9855,1.1655
Genoa,Milan,1.0705,1.652
Lecce,Atalanta,1.095,1.7535
Sassuolo,Roma,1.4615,1.4365
Fiorentina,Salernitana,1.604,0.859
Inter,Bologna,2.237,1.2995
Torino,Cagliari,1.0965,0.9165
Verona,Juventus,1.307,1.3455
Lazio,Monza,1.918,1.079
Empoli,Genoa,1.2095,0.8685
Napoli,Udinese,2.1,1.1655
Cagliari,Lecce,1.2495,0.8375
Bologna,Sassuolo,1.353,1.4855
Atalanta,Inter,2.0625,1.867
Monza,Salernitana,1.3285,0.859
Roma,Torino,1.598,1.2515
Verona,Frosinone,1.307,0.773
Milan,Fiorentina,1.855,1.2095
Juventus,Lazio,1.8885,1.567
Salernitana,Milan,1.282,1.652
Sassuolo,Cagliari,1.4615,0.9165
Frosinone,Atalanta,0.9855,1.7535
Torino,Verona,1.0965,1.034
Lecce,Lazio,1.095,1.567
Roma,Bologna,1.598,1.2995
Genoa,Juventus,1.0705,1.3455
Fiorentina,Monza,1.604,1.079
Inter,Napoli,2.237,1.904
Udinese,Empoli,1.4035,0.8935
Fiorentina,Sassuolo,1.604,1.4855
Juventus,Udinese,1.8885,1.1655
Monza,Inter,1.3285,1.867
Salernitana,Torino,1.282,1.2515
Lazio,Empoli,1.918,0.8935
Frosinone,Lecce,0.9855,0.8375
Cagliari,Napoli,1.2495,1.904
Milan,Roma,1.855,1.4365
Verona,Genoa,1.307,0.8685
Bologna,Atalanta,1.353,1.7535
Napoli,Juventus,2.1,1.3455
Genoa,Monza,1.0705,1.079
Lecce,Milan,1.095,1.652
Inter,Verona,2.237,1.034
Sassuolo,Lazio,1.4615,1.567
Torino,Frosinone,1.0965,0.773
Udinese,Bologna,1.4035,1.2995
Atalanta,Salernitana,2.0625,0.859
Roma,Fiorentina,1.598,1.2095
Empoli,Cagliari,1.2095,0.9165
Verona,Lecce,1.307,0.8375
Salernitana,Napoli,1.282,1.904
Fiorentina,Torino,1.604,1.2515
Cagliari,Udinese,1.2495,1.1655
Monza,Sassuolo,1.3285,1.4855
Frosinone,Roma,0.9855,1.4365
Juventus,Atalanta,1.8885,1.7535
Bologna,Genoa,1.353,0.8685
Inter,Empoli,2.237,0.8935
Lazio,Milan,1.918,1.652
Bologna,Frosinone,1.353,0.773
Lecce,Salernitana,1.095,0.859
Empoli,Torino,1.2095,1.2515
Genoa,Inter,1.0705,1.867
Atalanta,Cagliari,2.0625,0.9165
Milan,Sassuolo,1.855,1.4855
Juventus,Monza,1.8885,1.079
Lazio,Fiorentina,1.918,1.2095
Napoli,Roma,2.1,1.4365
Udinese,Verona,1.4035,1.034
Genoa,Lecce,1.0705,0.8375
Roma,Empoli,1.598,0.8935
Sassuolo,Atalanta,1.4615,1.7535
Frosinone,Napoli,0.9855,1.904
Torino,Udinese,1.0965,1.1655
Fiorentina,Bologna,1.604,1.2995
Inter,Milan,2.237,1.652
Verona,Lazio,1.307,1.567
Monza,Cagliari,1.3285,0.9165
Salernitana,Juventus,1.282,1.3455
Milan,Torino,1.855,1.2515
Empoli,Frosinone,1.2095,0.773
Lecce,Roma,1.095,1.4365
Lazio,Atalanta,1.918,1.7535
Udinese,Sassuolo,1.4035,1.4855
Bologna,Monza,1.353,1.079
Juventus,Fiorentina,1.8885,1.2095
Napoli,Genoa,2.1,0.8685
Verona,Salernitana,1.307,0.859
Cagliari,Inter,1.2495,1.867
Sassuolo,Napoli,1.4615,1.904
Cagliari,Bologna,1.2495,1.2995
Monza,Milan,1.3285,1.652
Inter,Udinese,2.237,1.1655
Atalanta,Lecce,2.0625,0.8375
Fiorentina,Empoli,1.604,0.8935
Salernitana,Lazio,1.282,1.567
Frosinone,Juventus,0.9855,1.3455
Roma,Verona,1.598,1.034
Torino,Genoa,1.0965,0.8685
Empoli,Napoli,1.2095,1.904
Lecce,Sassuolo,1.095,1.4855
Bologna,Inter,1.353,1.867
Salernitana,Monza,1.282,1.079
Udinese,Frosinone,1.4035,0.773
Milan,Atalanta,1.855,1.7535
Verona,Fiorentina,1.307,1.2095
Lazio,Cagliari,1.918,0.9165
Genoa,Roma,1.0705,1.4365
Juventus,Torino,1.8885,1.2515
Napoli,Lazio,2.1,1.567
Monza,Empoli,1.3285,0.8935
Atalanta,Udinese,2.0625,1.1655
Fiorentina,Milan,1.604,1.652
Frosinone,Verona,0.9855,1.034
Cagliari,Salernitana,1.2495,0.859
Inter,Lecce,2.237,0.8375
Roma,Juventus,1.598,1.3455
Sassuolo,Genoa,1.4615,0.8685
Torino,Bologna,1.0965,1.2995
Frosinone,Inter,0.9855,1.867
Empoli,Udinese,1.2095,1.1655
Napoli,Atalanta,2.1,1.7535
Bologna,Lazio,1.353,1.567
Lecce,Torino,1.095,1.2515
Genoa,Fiorentina,1.0705,1.2095
Verona,Monza,1.307,1.079
Roma,Sassuolo,1.598,1.4855
Juventus,Cagliari,1.8885,0.9165
Milan,Salernitana,1.855,0.859
Sassuolo,Frosinone,1.4615,0.773
Atalanta,Empoli,2.0625,0.8935
Monza,Genoa,1.3285,0.8685
Salernitana,Bologna,1.282,1.2995
Udinese,Milan,1.4035,1.652
Cagliari,Verona,1.2495,1.034
Fiorentina,Lecce,1.604,0.8375
Torino,Napoli,1.0965,1.904
Lazio,Roma,1.918,1.4365
Inter,Juventus,2.237,1.3455
Genoa,Atalanta,1.0705,1.7535
Inter,Fiorentina,2.237,1.2095
Juventus,Verona,1.8885,1.034
Bologna,Udinese,1.353,1.1655
Monza,Lazio,1.3285,1.567
Frosinone,Salernitana,0.9855,0.859
Roma,Cagliari,1.598,0.9165
Napoli,Milan,2.1,1.652
Empoli,Lecce,1.2095,0.8375
Sassuolo,Torino,1.4615,1.2515
Salernitana,Inter,1.282,1.867
Lecce,Napoli,1.095,1.904
Milan,Empoli,1.855,0.8935
Udinese,Monza,1.4035,1.079
Fiorentina,Frosinone,1.604,0.773
Atalanta,Bologna,2.0625,1.2995
Cagliari,Genoa,1.2495,0.8685
Torino,Roma,1.0965,1.4365
Verona,Sassuolo,1.307,1.4855
Lazio,Juventus,1.918,1.3455
Genoa,Empoli,1.0705,0.8935
Frosinone,Lazio,0.9855,1.567
Bologna,Milan,1.353,1.652
Napoli,Verona,2.1,1.034
Inter,Monza,2.237,1.079
Lecce,Cagliari,1.095,0.9165
Torino,Salernitana,1.0965,0.859
Sassuolo,Juventus,1.4615,1.3455
Roma,Udinese,1.598,1.1655
Fiorentina,Atalanta,1.604,1.7535
Verona,Bologna,1.307,1.2995
Salernitana,Sassuolo,1.282,1.4855
Lazio,Torino,1.918,1.2515
Cagliari,Frosinone,1.2495,0.773
Empoli,Inter,1.2095,1.867
Monza,Fiorentina,1.3285,1.2095
Udinese,Genoa,1.4035,0.8685
Milan,Lecce,1.855,0.8375
Juventus,Napoli,1.8885,1.904
Atalanta,Roma,2.0625,1.4365
Lecce,Udinese,1.095,1.1655
Frosinone,Monza,0.9855,1.079
Roma,Milan,1.598,1.652
Torino,Atalanta,1.0965,1.7535
Inter,Lazio,2.237,1.567
Genoa,Verona,1.0705,1.034
Napoli,Salernitana,2.1,0.859
Sassuolo,Empoli,1.4615,0.8935
Fiorentina,Cagliari,1.604,0.9165
Bologna,Juventus,1.353,1.3455
Atalanta,Frosinone,2.0625,0.773
Juventus,Lecce,1.8885,0.8375
Salernitana,Fiorentina,1.282,1.2095
Cagliari,Torino,1.2495,1.2515
Lazio,Sassuolo,1.918,1.4855
Milan,Genoa,1.855,0.8685
Monza,Roma,1.3285,1.4365
Verona,Inter,1.307,1.867
Empoli,Bologna,1.2095,1.2995
Udinese,Napoli,1.4035,1.904
Milan,Lazio,1.855,1.567
Roma,Inter,1.598,1.867
Genoa,Frosinone,1.0705,0.773
Atalanta,Juventus,2.0625,1.3455
Torino,Monza,1.0965,1.079
Napoli,Fiorentina,2.1,1.2095
Lecce,Verona,1.095,1.034
Empoli,Salernitana,1.2095,0.859
Udinese,Cagliari,1.4035,0.9165
Sassuolo,Bologna,1.4615,1.2995
Lazio,Lecce,1.918,0.8375
Salernitana,Atalanta,1.282,1.7535
Frosinone,Milan,0.9855,1.652
Inter,Sassuolo,2.237,1.4855
Verona,Torino,1.307,1.2515
Fiorentina,Udinese,1.604,1.1655
Monza,Napoli,1.3285,1.904
Bologna,Roma,1.353,1.4365
Juventus,Genoa,1.8885,0.8685
Cagliari,Empoli,1.2495,0.8935
Sassuolo,Monza,1.4615,1.079
Genoa,Bologna,1.0705,1.2995
Atalanta,Verona,2.0625,1.034
Milan,Cagliari,1.855,0.9165
Lecce,Frosinone,1.095,0.773
Torino,Fiorentina,1.0965,1.2095
Napoli,Inter,2.1,1.867
Udinese,Lazio,1.4035,1.567
Roma,Salernitana,1.598,0.859
Empoli,Juventus,1.2095,1.3455
Cagliari,Sassuolo,1.2495,1.4855
Salernitana,Udinese,1.282,1.1655
Frosinone,Torino,0.9855,1.2515
Fiorentina,Roma,1.604,1.4365
Inter,Atalanta,2.237,1.7535
Verona,Empoli,1.307,0.8935
Bologna,Napoli,1.353,1.904
Monza,Lecce,1.3285,0.8375
Lazio,Genoa,1.918,0.8685
Juventus,Milan,1.8885,1.652
Sassuolo,Fiorentina,1.4615,1.2095
Torino,Inter,1.0965,1.867
Genoa,Salernitana,1.0705,0.859
Empoli,Lazio,1.2095,1.567
Napoli,Cagliari,2.1,0.9165
Atalanta,Monza,2.0625,1.079
Lecce,Bologna,1.095,1.2995
Milan,Verona,1.855,1.034
Roma,Frosinone,1.598,0.773
Udinese,Juventus,1.4035,1.3455
